idx,Date,count,Day_Of_Wk
686,2015-07-13,24,Mon
687,2015-07-14,41,Tues
688,2015-07-15,33,Weds
689,2015-07-16,51,Thurs
690,2015-07-17,26,Fri
691,2015-07-18,57,Sat
692,2015-07-19,38,Sun
693,2015-07-20,42,Mon
694,2015-07-21,43,Tues
695,2015-07-22,21,Weds
696,2015-07-23,54,Thurs
697,2015-07-24,24,Fri
698,2015-07-25,17,Sat
699,2015-07-26,36,Sun
700,2015-07-27,33,Mon
701,2015-07-28,44,Tues
702,2015-07-29,78,Weds
703,2015-07-30,51,Thurs
704,2015-07-31,35,Fri
705,2015-08-01,25,Sat
706,2015-08-02,37,Sun
707,2015-08-03,19,Mon
708,2015-08-04,48,Tues
709,2015-08-05,28,Weds
710,2015-08-06,38,Thurs
711,2015-08-07,12,Fri
712,2015-08-08,13,Sat
713,2015-08-09,26,Sun
714,2015-08-10,4,Mon
715,2015-08-11,26,Tues
716,2015-08-12,30,Weds
717,2015-08-13,49,Thurs
718,2015-08-14,4,Fri
719,2015-08-15,15,Sat
720,2015-08-16,7,Sun
721,2015-08-17,44,Mon
722,2015-08-18,24,Tues
723,2015-08-19,29,Weds
724,2015-08-20,23,Thurs
725,2015-08-21,23,Fri
726,2015-08-22,13,Sat
727,2015-08-23,49,Sun
728,2015-08-24,19,Mon
729,2015-08-25,30,Tues
730,2015-08-26,20,Weds
731,2015-08-27,58,Thurs
732,2015-08-28,21,Fri
733,2015-08-29,44,Sat
734,2015-08-30,33,Sun
735,2015-08-31,21,Mon
736,2015-09-01,34,Tues
737,2015-09-02,39,Weds
738,2015-09-03,15,Thurs
739,2015-09-04,30,Fri
740,2015-09-05,32,Sat
741,2015-09-06,57,Sun
742,2015-09-07,27,Mon
743,2015-09-08,27,Tues
744,2015-09-09,7,Weds
745,2015-09-10,39,Thurs
746,2015-09-11,21,Fri
747,2015-09-12,6,Sat
748,2015-09-13,21,Sun
749,2015-09-14,42,Mon
750,2015-09-15,15,Tues
751,2015-09-16,13,Weds
752,2015-09-17,51,Thurs
753,2015-09-18,35,Fri
754,2015-09-19,34,Sat
755,2015-09-20,13,Sun
756,2015-09-21,12,Mon
757,2015-09-22,30,Tues
758,2015-09-23,46,Weds
759,2015-09-24,10,Thurs
760,2015-09-25,17,Fri
761,2015-09-26,13,Sat
762,2015-09-27,37,Sun
763,2015-09-28,20,Mon
764,2015-09-29,35,Tues
765,2015-09-30,17,Weds
766,2015-10-01,29,Thurs
767,2015-10-02,6,Fri
768,2015-10-03,5,Sat
769,2015-10-04,12,Sun
770,2015-10-05,18,Mon
771,2015-10-06,24,Tues
772,2015-10-07,16,Weds
773,2015-10-08,41,Thurs
774,2015-10-09,8,Fri
775,2015-10-10,17,Sat
776,2015-10-11,18,Sun
777,2015-10-12,55,Mon
778,2015-10-13,35,Tues
779,2015-10-14,18,Weds
780,2015-10-15,17,Thurs
781,2015-10-16,25,Fri
782,2015-10-17,61,Sat
783,2015-10-18,24,Sun
784,2015-10-19,39,Mon
785,2015-10-20,42,Tues
786,2015-10-21,38,Weds
787,2015-10-22,31,Thurs
788,2015-10-23,13,Fri
789,2015-10-24,18,Sat
790,2015-10-25,15,Sun
791,2015-10-26,15,Mon
792,2015-10-27,8,Tues
793,2015-10-28,24,Weds
794,2015-10-29,16,Thurs
795,2015-10-30,9,Fri
796,2015-10-31,11,Sat
797,2015-11-01,15,Sun
798,2015-11-02,26,Mon
799,2015-11-03,21,Tues
800,2015-11-04,48,Weds
801,2015-11-05,27,Thurs
802,2015-11-06,16,Fri
803,2015-11-07,6,Sat
804,2015-11-08,39,Sun
805,2015-11-09,24,Mon
806,2015-11-10,42,Tues
807,2015-11-11,22,Weds
808,2015-11-12,9,Thurs
809,2015-11-14,8,Sat
810,2015-11-15,7,Sun
811,2015-11-16,25,Mon
812,2015-11-17,21,Tues
813,2015-11-18,13,Weds
814,2015-11-19,23,Thurs
815,2015-11-20,3,Fri
816,2015-11-21,27,Sat
817,2015-11-22,21,Sun
818,2015-11-23,21,Mon
819,2015-11-24,31,Tues
820,2015-11-25,9,Weds
821,2015-11-26,27,Thurs
822,2015-11-27,26,Fri
823,2015-11-28,3,Sat
824,2015-11-29,12,Sun
825,2015-11-30,27,Mon
826,2015-12-01,34,Tues
827,2015-12-02,27,Weds
828,2015-12-03,41,Thurs
829,2015-12-04,36,Fri
830,2015-12-05,47,Sat
831,2015-12-06,9,Sun
832,2015-12-07,47,Mon
833,2015-12-08,13,Tues
834,2015-12-09,35,Weds
835,2015-12-10,20,Thurs
836,2015-12-11,51,Fri
837,2015-12-12,37,Sat
838,2015-12-13,22,Sun
839,2015-12-14,18,Mon
840,2015-12-15,61,Tues
841,2015-12-16,23,Weds
842,2015-12-17,30,Thurs
843,2015-12-18,19,Fri
844,2015-12-19,9,Sat
845,2015-12-20,16,Sun
846,2015-12-21,79,Mon
847,2015-12-22,38,Tues
848,2015-12-23,24,Weds
849,2015-12-24,15,Thurs
850,2015-12-25,19,Fri
851,2015-12-26,14,Sat
852,2015-12-27,13,Sun
853,2015-12-28,37,Mon
854,2015-12-29,44,Tues
855,2015-12-30,33,Weds
856,2015-12-31,8,Thurs
857,2016-01-01,11,Fri
858,2016-01-02,13,Sat
859,2016-01-03,12,Sun
860,2016-01-04,29,Mon
861,2016-01-05,39,Tues
862,2016-01-06,33,Weds
863,2016-01-07,16,Thurs
864,2016-01-08,14,Fri
865,2016-01-09,25,Sat
866,2016-01-10,5,Sun
867,2016-01-11,18,Mon
868,2016-01-12,36,Tues
869,2016-01-13,47,Weds
870,2016-01-14,32,Thurs
871,2016-01-15,39,Fri
872,2016-01-16,11,Sat
873,2016-01-17,29,Sun
874,2016-01-18,44,Mon
875,2016-01-19,23,Tues
876,2016-01-20,29,Weds
877,2016-01-21,29,Thurs
878,2016-01-22,31,Fri
879,2016-01-23,44,Sat
880,2016-01-24,16,Sun
881,2016-01-25,45,Mon
882,2016-01-26,22,Tues
883,2016-01-27,41,Weds
884,2016-01-28,49,Thurs
885,2016-01-29,48,Fri
886,2016-01-30,64,Sat
887,2016-01-31,53,Sun
888,2016-02-01,24,Mon
889,2016-02-02,26,Tues
890,2016-02-03,68,Weds
891,2016-02-04,49,Thurs
892,2016-02-05,1,Fri
893,2016-02-06,18,Sat
894,2016-02-07,4,Sun
